git_sha, date_checked, partition_name, group_name, node_count_dynamic_max, node_count_static, can_ip_forward, disable_smt, disk_auto_delete, disk_size_gb, disk_type, enable_confidential_vm, enable_oslogin, enable_shielded_vm, gpu.type, gpu.count, machine_type, min_cpu_platform, on_host_maintenance, preemptible, shielded_instance_config, source_image_family, source_image_project, source_image, mem_offset_mb, cpu_spec_list, instance_template, bandwidth_tier, enable_spot_vm, spot_instance_config.termination_action
1941655, 05/09/2023 17:09:35, c260, sm, 20, 0, True, False, True, 100, pd-standard, False, True, False, , 0, c2-standard-60, None, None, False, None, None, None, None, 0, , None, platform_default, False, STOP
1941655, 05/09/2023 17:09:35, v100, lrg, 5, 0, True, False, True, 250, pd-ssd, False, True, False, nvidia-tesla-v100, 8, n1-standard-96, None, None, False, None, None, None, None, 0, , None, platform_default, False, STOP
1941655, 05/09/2023 17:09:35, a100, lrg, 5, 0, True, False, True, 250, pd-ssd, False, True, False, nvidia-tesla-a100, 8, a2-highgpu-8g, None, None, False, None, None, None, None, 0, , None, platform_default, False, STOP
